m_phi,width_central,width_lower,width_upper
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.1414213562373095,0.0,0.0,0.0
0.17320508075688773,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.22360679774997896,0.0,0.0,0.0
0.2449489742783178,0.0,0.0,0.0
0.2645751311064591,0.0,0.0,0.0
0.282842712474619,3.8359170013736103e-10,3.218016889117682e-10,4.5080472469856933e-10
0.3,5.489244942255449e-10,4.5112110229806674e-10,6.563159351145643e-10
0.31622776601683794,6.660028751775044e-10,5.354986751231878e-10,8.107241836244856e-10
0.33166247903553997,7.608191762961984e-10,5.986729437191229e-10,9.42373812854991e-10
0.34641016151377546,8.432552657753711e-10,6.494635407883056e-10,1.062312850227226e-09
0.36055512754639896,9.191356371742324e-10,6.93008264768298e-10,1.177138326320576e-09
0.37416573867739417,9.9101462975568e-10,7.316291361175181e-10,1.2896807791683874e-09
0.3872983346207417,1.0607775014912951e-09,7.669871212150474e-10,1.4021000493133422e-09
0.4,1.12963544110827e-09,8.001401012273037e-10,1.5158058672648094e-09
0.41231056256176607,1.1984966268820012e-09,8.318585430892154e-10,1.631890302880785e-09
0.4242640687119285,1.2677957903980651e-09,8.625348373088809e-10,1.7508614901274939e-09
0.43588989435406733,1.3382442017492618e-09,8.927185044181589e-10,1.87364707319665e-09
0.4472135954999579,1.4102591943973878e-09,9.227276263672691e-10,2.000809012530919e-09
0.458257569495584,1.4842501763455308e-09,9.528536057888262e-10,2.132925667731294e-09
0.469041575982343,1.5607258982673575e-09,9.834311677318466e-10,2.270745604880617e-09
0.47958315233127197,1.63981960483286e-09,1.0145412702642395e-09,2.414494671896045e-09
0.4898979485566356,1.7221162840120588e-09,1.0465334953923879e-09,2.5650788939707377e-09
0.5,1.8080399629756308e-09,1.0796395282850283e-09,2.7231946702478836e-09
0.5099019513592785,1.897853512679814e-09,1.1139839212228143e-09,2.889312280741774e-09
0.5196152422706632,1.9921348141527105e-09,1.1498630616072074e-09,3.0644023360100004e-09
0.5291502622129182,2.0913114646573658e-09,1.1874730243157065e-09,3.2492265814059142e-09
0.5385164807134504,2.1957576975690042e-09,1.2269712473201155e-09,3.444478069474185e-09
0.5477225575051661,2.306077314465353e-09,1.2686291022562453e-09,3.651234720603682e-09
0.5567764362830022,2.4228058771109316e-09,1.3126706114630352e-09,3.870484195150223e-09
0.565685424949238,2.546467410739001e-09,1.3593061133358606e-09,4.103209651743349e-09
0.5744562646538028,2.677701530466036e-09,1.4087888758914376e-09,4.350614494159986e-09
0.5830951894845301,2.817170314111228e-09,1.4613772558262807e-09,4.613952428360138e-09
0.5916079783099616,2.965585443332385e-09,1.5173490153557017e-09,4.894571435470608e-09
0.6,3.12366399345448e-09,1.5769643519864524e-09,5.1938667673763314e-09
0.6082762530298219,3.292214130614226e-09,1.6405237688896172e-09,5.5133979044897955e-09
0.6164414002968976,3.4721166398590337e-09,1.7083608336139267e-09,5.854853812897536e-09
0.6244997998398398,3.664294964945803e-09,1.780803429180013e-09,6.220046871777969e-09
0.6324555320336759,3.869782951154224e-09,1.8582262100646836e-09,6.610992660399644e-09
0.6403124237432849,4.089774131697469e-09,1.9410726001863404e-09,7.029997161659032e-09
0.648074069840786,4.3254263589878584e-09,2.029749460575942e-09,7.479344995642005e-09
0.6557438524302001,4.5780160962587455e-09,2.124707144819863e-09,7.961552247568032e-09
0.6633249580710799,4.848938612884492e-09,2.226445288044054e-09,8.479355891055754e-09
0.6708203932499369,5.139765407813309e-09,2.3355223921277045e-09,9.035846880202929e-09
0.6782329983125268,5.452266834046796e-09,2.4525659375018778e-09,9.634511112796647e-09
0.6855654600401044,5.788413411664084e-09,2.57828217215445e-09,1.0279214062768858e-08
0.6928203230275509,6.1503014103738315e-09,2.713412997637752e-09,1.0974088519801868e-08
0.7,6.540140738489943e-09,2.858727468788302e-09,1.1723519851252803e-08
0.7071067811865476,6.960317945547556e-09,3.0150590731964744e-09,1.2532239707804876e-08
0.714142842854285,7.4135796927999985e-09,3.183373773171844e-09,1.3405679716307366e-08
0.7211102550927979,7.903232494140143e-09,3.3648459012112012e-09,1.4350353561165504e-08
0.7280109889280518,8.43281362228491e-09,3.560728144889831e-09,1.5373239310387853e-08
0.7348469228349535,9.006185688373379e-09,3.77237798035154e-09,1.64819800470632e-08
0.7416198487095663,9.627585379144802e-09,4.0012744881581894e-09,1.7684981352368783e-08
0.7483314773547883,1.0301348659020244e-08,4.248930392727594e-09,1.8990851816580435e-08
0.754983443527075,1.1033212051649755e-08,4.517354006259397e-09,2.0410960108742527e-08
0.7615773105863908,1.182963048165485e-08,4.8087931435386e-09,2.1958126562469682e-08
0.7681145747868608,1.2697719304220996e-08,5.125708132881173e-09,2.3646524152007795e-08
0.7745966692414834,1.3644707937829532e-08,5.470653240529398e-09,2.549044201987521e-08
0.7810249675906654,1.4677919380704368e-08,5.846203921706815e-09,2.750438285754163e-08
0.7874007874011811,1.580846286490067e-08,6.256234823526848e-09,2.9710401843592294e-08
0.7937253933193772,1.7049374107788644e-08,6.705253969077213e-09,3.213446618745897e-08
0.8,1.8413414278039217e-08,7.197707062157276e-09,3.480193647103506e-08
0.806225774829855,1.991262527566659e-08,7.737819493648568e-09,3.7736686177654005e-08
0.812403840463596,2.1567603815980575e-08,8.332750067037752e-09,4.097967016050987e-08
0.8185352771872451,2.340391352855507e-08,8.991319483078075e-09,4.458186679831738e-08
0.8246211251235321,2.541860562591749e-08,9.712898172513797e-09,4.8536598722421236e-08
0.8306623862918076,2.7737999379082528e-08,1.053997880863552e-08,5.3098067163465e-08
0.8366600265340756,3.014506358349976e-08,1.1401294831412123e-08,5.78257393995248e-08
