m_phi,width_central,width_lower,width_upper
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.1414213562373095,0.0,0.0,0.0
0.17320508075688773,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.22360679774997896,0.0,0.0,0.0
0.2449489742783178,0.0,0.0,0.0
0.2645751311064591,0.0,0.0,0.0
0.282842712474619,2.8087796653756603e-09,2.6406329043257914e-09,2.982115988746075e-09
0.3,4.547489114899709e-09,4.269465887261379e-09,4.8342813721017994e-09
0.31622776601683794,6.061563148649779e-09,5.678141490423693e-09,6.4575107943353665e-09
0.33166247903553997,7.552757114779926e-09,7.0589208283998775e-09,8.063288537789116e-09
0.34641016151377546,9.051320413729736e-09,8.44039921791755e-09,9.683585342696285e-09
0.36055512754639896,1.058169011214033e-08,9.845241231705772e-09,1.1344698699408364e-08
0.37416573867739417,1.2145605008459013e-08,1.127471551189981e-08,1.304888991481637e-08
0.3872983346207417,1.3743288320190855e-08,1.2728600574513015e-08,1.479688411978546e-08
0.4,1.5370644451002463e-08,1.4202587254678732e-08,1.658485453821758e-08
0.41231056256176607,1.7022275676134806e-08,1.569110237930284e-08,1.8407639539822272e-08
0.4242640687119285,1.868794656180328e-08,1.7184100459025738e-08,2.0254865386401933e-08
0.43588989435406733,2.036257724451632e-08,1.867629224385587e-08,2.212173537813664e-08
0.4472135954999579,2.2038109268919862e-08,2.015965588482159e-08,2.400022435698624e-08
0.458257569495584,2.3707247193194806e-08,2.1626891794862475e-08,2.5883119116858395e-08
0.469041575982343,2.5365237370994375e-08,2.3073048783393505e-08,2.776595732299233e-08
0.47958315233127197,2.7002654979187894e-08,2.448900009417435e-08,2.963909150143091e-08
0.4898979485566356,2.8617290432318652e-08,2.5872173610183166e-08,3.15007909587551e-08
0.5,3.0205595836914886e-08,2.7218841264143e-08,3.3347802420372934e-08
0.5099019513592785,3.176274699059187e-08,2.8524233690766872e-08,3.5175353359495784e-08
0.5196152422706632,3.328787129138206e-08,2.9787046761698777e-08,3.69831507001396e-08
0.5291502622129182,3.4779301601817124e-08,3.100538678420603e-08,3.876989557173647e-08
0.5385164807134504,3.623549328556314e-08,3.217756894142562e-08,4.053432570516828e-08
0.5477225575051661,3.765661860510276e-08,3.3303278314081464e-08,4.2277285066727234e-08
0.5567764362830022,3.9043535181834915e-08,3.438296939477427e-08,4.4000217402825024e-08
0.565685424949238,4.0398123873208295e-08,3.5418125644909634e-08,4.5705587399408e-08
0.5744562646538028,4.172006521433902e-08,3.640794207884285e-08,4.739379160087484e-08
0.5830951894845301,4.301116041835024e-08,3.735366585760469e-08,4.9067423947591797e-08
0.5916079783099616,4.427541004633212e-08,3.825861661574843e-08,5.0731416631795397e-08
0.6,4.551248288457291e-08,3.912196780502037e-08,5.238621795360162e-08
0.6082762530298219,4.6724711784406614e-08,3.9945371444580516e-08,5.403514623383328e-08
0.6164414002968976,4.791778062825189e-08,4.0733637157353244e-08,5.5685072504641195e-08
0.6244997998398398,4.909135814164602e-08,4.1485760359924246e-08,5.733671396783675e-08
0.6324555320336759,5.0247548946397855e-08,4.22029838704425e-08,5.89934403418167e-08
0.6403124237432849,5.139118368297218e-08,4.2888967137549304e-08,6.066169828509989e-08
0.648074069840786,5.252356371692411e-08,4.354415240250459e-08,6.234411825090368e-08
0.6557438524302001,5.3646467823382374e-08,4.4169357742884815e-08,6.404395441953404e-08
0.6633249580710799,5.4764356085003476e-08,4.4767865541392915e-08,6.576738603813583e-08
0.6708203932499369,5.587958644464152e-08,4.534079004801211e-08,6.751864424254594e-08
0.6782329983125268,5.699341023643204e-08,4.5888036986224606e-08,6.930104762786065e-08
0.6855654600401044,5.81092991812287e-08,4.6411448914047595e-08,7.112048595402401e-08
0.6928203230275509,5.9230105341198356e-08,4.691228321863147e-08,7.298225609120378e-08
0.7,6.035752448413432e-08,4.7390771165115256e-08,7.489042691371327e-08
0.7071067811865476,6.149510600963852e-08,4.7848806193387275e-08,7.685117016882809e-08
0.714142842854285,6.264594400906039e-08,4.828754094683957e-08,7.887064111172214e-08
0.7211102550927979,6.381177851892512e-08,4.8706341262962847e-08,8.095432489589702e-08
0.7280109889280518,6.499553919772768e-08,4.910564902157074e-08,8.310911174381105e-08
0.7348469228349535,6.620029853069045e-08,4.948597482344051e-08,8.534223909995325e-08
0.7416198487095663,6.742933101887962e-08,4.984792375470465e-08,8.766140046378199e-08
0.7483314773547883,6.868701498909928e-08,5.019324186178261e-08,9.007541817862691e-08
0.754983443527075,6.997629161121621e-08,5.052120727373705e-08,9.259326474551642e-08
0.7615773105863908,7.130015500031391e-08,5.083085436453713e-08,9.522457097671198e-08
0.7681145747868608,7.266183202942749e-08,5.112126861483165e-08,9.797967054524686e-08
0.7745966692414834,7.406671132085753e-08,5.139370914019186e-08,1.0087115372433076e-07
0.7810249675906654,7.552021114212568e-08,5.164984590318253e-08,1.0391132314988292e-07
0.7874007874011811,7.702739918740833e-08,5.188806247430121e-08,1.0711658041354407e-07
0.7937253933193772,7.859235523584433e-08,5.210499805355079e-08,1.1050396705881424e-07
0.8,8.022311064143088e-08,5.2301965873927864e-08,1.1409361276141478e-07
0.806225774829855,8.193096736046491e-08,5.248447031223061e-08,1.1790764439602892e-07
0.812403840463596,8.372280770181325e-08,5.2647845853220076e-08,1.219732513204237e-07
0.8185352771872451,8.560376188251281e-08,5.278367652321443e-08,1.2632012612842292e-07
0.8246211251235321,8.762410727252872e-08,5.294435961627762e-08,1.3099403070793004e-07
0.8306623862918076,8.967320298741516e-08,5.2954694021789646e-08,1.3600666643848406e-07
0.8366600265340756,9.2110187881313e-08,5.3273381001317066e-08,1.4151360053266766e-07
